ProductID;EID;PID;VID;Department;Category;Type;Product Title;Finish1;Treatment;Hanging Method;Shade Color;Shade Shape;Style1;Style2;Style3;Tier
17748;17748;P360509;B9360NB;Outdoor;Outdoor Wall Lights;Outdoor Wall Lights;16-Inch Outdoor Wall Light;Bronze / Brown Tones;;;Clear;;Colonial / Williamsburg;Classical;Marine / Nautical;
19323;19323;;700-JOSPLC;Wall Lights;Wall Lamps;Picture Lights;Low-Voltage Picture Light;Chrome;Brushed Anodized;;Chrome;Conical;Contemporary / Modern;;;
20495;20495;P718689;APR-16-52;Wall Lights;Wall Lamps;Picture Lights;Slim Picture Light;Satin Nickel / Satin Chrome;Brushed Anodized;;;;Contemporary / Modern;;;
208958;208958;P169105;15402OZ;Outdoor;Outdoor Ceiling Lights;Outdoor Chandeliers;Kichler Low Voltage Outdoor Chandelier;Bronze / Brown Tones;;Cable Hung;Beige / Cream Tones;;;;;
214144;214144;;2939-55;Ceiling LiP1836220ghts;Chandeliers;Chandeliers;Five-Light Chandelier;Bronze / Brown Tones;Painted;Chain Hung;Alabaster Glass;Bowl / Dome;Transitional;;;1
229103;229103;P529084;F849262NV;Ceiling Lights;Indoor Ceiling Lights;Flushmount Lights;10-inch Modern Flushmount Ceiling Light;Silver Tones;;;White Tones;Cylindrical;Contemporary / Modern;Art Deco;Marine / Nautical;
262211;262211;P233601;15494AZT;Outdoor;Landscape Lighting;Tree Lights;Kichler Adjustable Low Voltage Tree Light;Bronze / Brown Tones;;;;;Casual;;;
262237;262237;P233214;15409OZ;Outdoor;Outdoor Ceiling Lights;Outdoor Chandeliers;Kichler Low Voltage Outdoor Chandelier;Bronze / Brown Tones;;Stem Hung;Beige / Cream Tones;;Mission / Mackintosh;Arts and Crafts / Craftsman;Asian;
262251;262251;P233215;15123BK;Outdoor;BBQ Lights;;Kichler Low Voltage Adjustable Barbeque Light;;;;;;;;;
278696;278696;;600MOVBNCN/600FJ4RFN;Ceiling Lights;Mini-Pendant Lights;Mini-Pendant Lights;Van Buren Halophane Mini-Pendant;Polished Nickel;Patterned;Cable Hung;White Tones;Bell;Traditional;Transitional;;
278707;278707;;600MOCNGCN/600FJ4RFN;Ceiling Lights;Mini-Pendant Lights;Mini-Pendant Lights;Congress Halophane Mini-Pendant;Polished Nickel;Patterned;Cable Hung;White Tones;Bowl / Dome;Traditional;Transitional;;
284269;284269;P736533;2108-148;Ceiling Lights;Chandeliers;Chandeliers;Twenty-Seven-Light Chandelier;Bronze / Brown Tones;;Chain Hung;Brown tones;Empire;Old World;Classical;Crystal;4
288991;288991;;LT-06;Lamps;Accent Lamps;Accent Lamps;Bamboo Motif Lithophane Accent Lamp;Black Tones;Patterned;;Brown tones;Rectangle;Asian;Organic;Lodge / Rustic / Cabin;
289100;289100;;L-872;Outdoor;BBQ Lights;;LED Grill Light - 24-Inch Extension Arm;;;;;;;;;
356731;356731;;REAL6 D6MWU;Ceiling Lights;Recessed Lights;Retrofit Modules;6-Inch LED Recessed Downlight Retrofit Module for Recessed Lights;;;;;;;;;
365249;365249;;LL-PB;Lamps;Accent Lamps;Lava Lamps;Lava Lamp in Purple & Blue - 14-1/2-Inches Tall;Silver Tones;;;;;Eclectic;Kids Lighting;Vintage / Retro / Industrial;
365250;365250;;LL-PK/PR;Lamps;Accent Lamps;Lava Lamps;Lava Lamp in Pink & Purple - 14-1/2-Inches Tall;Silver Tones;;;;;Eclectic;Kids Lighting;Vintage / Retro / Industrial;
377710;377710;P640155;53400;Ceiling Lights;Under Cabinet / Cove Lights;Tape Lights;LED Strip Light Kit - StarStrand Channel Star 24 Volt ;White Tones;;;;;;;;
377733;377733;P640157;53402;Ceiling Lights;Under Cabinet / Cove Lights;Tape Lights;Maxim Lighting Starstrand Ultima Star 10-1/4-Inch LED Tape Light;White Tones;;;;;;;;
381329;381329;;LL11-WH/BL;Lamps;Accent Lamps;Lava Lamps;Lava Lamp in Blue & White - 11-1/2-Inches Tall;Silver Tones;;;;;Vintage / Retro / Industrial;Kids Lighting;;
381330;381330;;LL11-YW/BL;Lamps;Accent Lamps;Lava Lamps;Yellow & Blue Lava Lamp - 11-1/2-Inches Tall;Silver Tones;;;;;Vintage / Retro / Industrial;Kids Lighting;;
391761;391761;P914117;UK3STL-3K-BZ;Ceiling Lights;Under Cabinet / Cove Lights;Puck Lights;LED Puck Light Kit - Includes Three Puck Lights;Bronze / Brown Tones;Brushed;;;;;;;
391762;391762;P914118;UK3STL-3K-SN;Ceiling Lights;Under Cabinet / Cove Lights;Puck Lights;Juno Lighting Group Satin Nickel 2.5-Inch LED Puck Light;Satin Nickel / Satin Chrome;Satin;;;;;;;
416414;416414;;LED12DR5627K;Ceiling Lights;Recessed Lights;Retrofit Modules;LED Retrofit 6-Inch Recessed Trim - 12-Watts Total;;;;;;;;;
416417;416417;;LED14DR5627K;Ceiling Lights;Recessed Lights;Retrofit Modules;Dimmable LED Retrofit 6-Inch Recessed Trim - 14-Watts Total;;;;;;;;;
63826;63826;P19057;15087AZT;Outdoor;Landscape Lighting;Tree Lights;Kichler Adjustable Low Voltage Tree Light;Bronze / Brown Tones;Textured;;;;Casual;;;
98348;98348;;LL-YB;Lamps;Accent Lamps;Lava Lamps;Lava Lamp in Yellow & Blue - 14-1/2-Inches Tall;Silver Tones;;;;;Vintage / Retro / Industrial;Eclectic;Kids Lighting;
P1016466;362152;P1016466;2044;Lamps;Table Lamps;Table Top Torchiere Lamps;Robert Abbey Rico Espinet Nina Table Top Torchiere Lamp;Polished Nickel;Polished;;White Tones;Oblong;Contemporary / Modern;;;
P1016472;;P1016472;2069;Lamps;Table Lamps;Table Top Torchiere Lamps;Robert Abbey Rico Espinet Nina Table Lamp;Polished Nickel;Polished;;White Tones;Cylindrical;Contemporary / Modern;;;
P1018502;457256;P1018502;14601S-15;Ceiling Lights;Recessed Lights;Retrofit Modules;LED Retrofit Module in White Finish;;;;White Tones;;;;;
P1045201;562845;P1045201;LED6731-WH;Ceiling Lights;Recessed Lights;Retrofit Modules;6-inch LED High Ceiling Recessed Retrofit Module with White Trim Ring;;;;None;;;;;
P1144540;251151;P1144540;1900MT;Outdoor;Outdoor Wall Lights;Outdoor Wall Lights;12-Inch Tall Outdoor Wall Light;Bronze / Brown Tones;;;White Tones;;Art Deco;Contemporary / Modern;Marine / Nautical;
P1144559;226343;P1144559;1905MT;Outdoor;Outdoor Wall Lights;Outdoor Wall Lights;20-1/4-Inch Outdoor Wall Light;Bronze / Brown Tones;;;White Tones;;Art Deco;Contemporary / Modern;Marine / Nautical;
P1144714;287079;P1144714;2630OB;Outdoor;Outdoor Wall Lights;Outdoor Wall Lights;Outdoor Wall Light with Amber Glass in Olde Bronze Finish;Bronze / Brown Tones;;;Amber Tones;;Arts and Crafts / Craftsman;Colonial / Williamsburg;Marine / Nautical;
P1171878;444374;P1171878;TFNO6325VA;Lamps;Table Lamps;Table Lamps;Table Lamp with Multi-Color Glass in Valiant Bronze Finish;Bronze / Brown Tones;;;Multi-Color;Square;Tiffany;Arts and Crafts / Craftsman;Southwestern;
P1212683;618742;P1212683;S700;Ceiling Lights;Chandeliers;Chandeliers;Robert Abbey Jonathan Adler Ipanema Chandelier;Polished Nickel;Polished;Stem Hung;White Tones;Globe;Contemporary / Modern;;;4
P199212;556635;P199212;MC120T;Lamps;Table Lamps;Table Lamps;Mica Table Lamp;Bronze / Brown Tones;Patterned;;Green Tones;Coolie;Mission / Mackintosh;Lodge / Rustic / Cabin;Arts and Crafts / Craftsman;
